GLOBALTIME -> ID  -- Machines Assigned
         0 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
         0 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
         0 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
         0 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
         0 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
         0 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
         0 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
         0 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
         0 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
         0 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
         0 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
         0 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
         0 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
         0 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
         0 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
         0 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
         0 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
         0 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
         0 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
         0 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
         0 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
         0 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
         0 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
         0 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
         0 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
        60 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
        60 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
        60 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
        60 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
        60 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
        60 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
        60 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
        60 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
        60 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
        60 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
        60 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
        60 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
        60 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
        60 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
        60 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
        60 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
        60 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
        60 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
        60 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
        60 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
        60 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
        60 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
        60 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
        60 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
        60 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       120 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       120 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       120 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       120 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       120 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       120 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       120 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       120 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       120 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       120 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       120 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       120 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       120 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       120 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       120 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       120 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       120 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       120 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       120 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       120 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       120 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       120 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       120 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
