GLOBALTIME -> ID  -- Machines Assigned
         0 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
         0 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
         0 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
         0 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
         0 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
         0 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
         0 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
         0 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
         0 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
         0 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
         0 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
         0 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
         0 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
         0 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
         0 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
         0 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
         0 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
         0 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
         0 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
         0 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
         0 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
         0 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
         0 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
         0 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
         0 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
        60 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
        60 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
        60 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
        60 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
        60 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
        60 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
        60 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
        60 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
        60 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
        60 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
        60 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
        60 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
        60 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
        60 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
        60 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
        60 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
        60 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
        60 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
        60 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
        60 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
        60 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
        60 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
        60 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
        60 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
        60 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       120 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       120 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       120 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       120 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       120 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       120 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       120 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       120 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       120 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       120 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       120 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       120 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       120 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       120 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       120 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       120 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       120 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       120 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       120 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       120 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       120 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       120 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       120 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       120 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       120 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       180 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       180 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       180 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       180 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       180 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       180 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       180 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       180 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       180 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       180 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       180 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       180 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       180 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       180 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       180 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       180 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       180 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       180 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       180 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       180 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       180 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       180 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       180 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       180 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       180 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       240 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       240 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       240 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       240 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       240 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       240 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       240 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       240 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       240 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       240 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       240 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       240 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       240 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       240 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       240 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       240 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       240 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       240 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       240 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       240 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       240 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       240 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       240 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       240 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       240 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       300 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       300 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       300 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       300 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       300 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       300 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       300 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       300 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       300 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       300 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       300 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       300 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       300 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       300 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       300 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       300 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       300 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       300 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       300 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       300 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       300 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       300 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       300 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       300 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       300 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       360 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       360 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       360 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       360 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       360 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       360 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       360 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       360 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       360 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       360 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       360 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       360 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       360 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       360 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       360 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       360 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       360 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       360 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       360 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       360 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       360 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       360 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       360 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       360 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       360 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       420 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       420 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       420 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       420 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       420 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       420 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       420 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       420 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       420 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       420 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       420 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       420 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       420 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       420 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       420 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       420 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       420 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       420 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       420 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       420 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       420 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       420 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       420 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       420 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       420 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       480 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       480 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       480 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       480 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       480 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       480 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       480 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       480 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       480 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       480 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       480 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       480 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       480 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       480 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       480 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       480 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       480 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       480 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       480 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       480 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       480 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       480 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       480 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       480 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       480 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       540 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       540 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       540 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       540 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       540 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       540 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       540 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       540 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       540 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       540 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       540 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       540 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       540 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       540 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       540 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       540 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       540 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       540 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       540 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       540 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       540 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       540 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       540 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       540 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       540 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       600 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       600 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       600 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       600 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       600 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       600 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       600 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       600 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       600 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       600 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       600 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       600 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       600 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       600 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       600 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       600 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       600 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       600 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       600 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       600 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       600 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       600 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       600 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       600 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       600 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       660 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       660 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       660 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       660 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       660 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       660 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       660 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       660 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       660 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       660 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       660 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
