GLOBALTIME -> ID  -- Machines Assigned
         0 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
         0 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
         0 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
         0 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
         0 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
         0 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
         0 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
         0 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
         0 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
         0 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
         0 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
         0 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
         0 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
         0 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
         0 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
         0 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
         0 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
         0 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
         0 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
         0 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
         0 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
         0 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
         0 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
         0 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
         0 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
        60 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
        60 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
        60 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
        60 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
        60 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
        60 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
        60 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
        60 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
        60 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
        60 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
        60 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
        60 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
        60 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
        60 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
        60 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
        60 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
        60 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
        60 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
        60 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
        60 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
        60 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
        60 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
        60 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
        60 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
        60 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       120 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       120 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       120 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       120 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       120 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       120 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       120 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       120 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       120 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       120 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       120 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       120 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       120 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       120 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       120 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       120 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       120 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       120 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       120 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       120 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       120 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       120 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
