GLOBALTIME -> ID  -- Machines Assigned
         0 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
         0 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
         0 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
         0 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
         0 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
         0 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
         0 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
         0 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
         0 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
         0 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
         0 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
         0 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
         0 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
         0 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
         0 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
         0 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
         0 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
         0 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
         0 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
         0 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
         0 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
         0 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
         0 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
         0 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
         0 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
        60 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
        60 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
        60 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
        60 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
        60 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
        60 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
        60 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
        60 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
        60 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
        60 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
        60 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
        60 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
        60 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
        60 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
        60 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
        60 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
        60 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
        60 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
        60 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
        60 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
        60 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
        60 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
        60 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
        60 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
        60 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       120 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       120 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       120 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       120 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       120 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       120 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       120 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       120 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       120 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       120 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       120 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       120 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       120 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       120 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       120 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       120 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       120 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
