GLOBALTIME -> ID  -- Machines Assigned
         0 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
         0 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
         0 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
         0 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
         0 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
         0 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
         0 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
         0 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
         0 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
         0 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
         0 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
         0 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
         0 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
         0 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
         0 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
         0 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
         0 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
         0 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
         0 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
         0 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
         0 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
         0 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
         0 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
         0 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
         0 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
        60 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
        60 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
        60 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
        60 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
        60 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
        60 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
        60 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
        60 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
        60 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
        60 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
        60 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
        60 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
        60 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
        60 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
        60 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
        60 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
        60 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
        60 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
        60 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
        60 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
        60 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
        60 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
        60 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
        60 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
        60 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       120 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       120 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       120 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       120 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       120 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       120 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       120 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       120 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       120 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       120 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       120 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       120 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       120 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       120 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       120 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       120 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       120 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       120 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       120 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       120 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       120 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       120 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       120 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       120 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       120 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       180 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       180 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       180 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       180 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       180 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       180 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       180 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       180 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       180 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       180 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       180 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
