GLOBALTIME -> ID  -- Machines Assigned
         0 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
         0 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
         0 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
         0 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
         0 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
         0 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
         0 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
         0 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
         0 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
         0 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
         0 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
         0 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
         0 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
         0 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
         0 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
         0 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
         0 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
         0 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
         0 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
         0 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
         0 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
         0 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
         0 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
         0 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
         0 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
        60 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
        60 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
        60 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
        60 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
        60 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
        60 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
        60 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
        60 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
        60 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
        60 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
        60 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
        60 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
        60 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
        60 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
        60 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
        60 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
        60 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
        60 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
        60 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
        60 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
        60 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
        60 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
        60 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
        60 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
        60 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       120 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       120 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       120 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       120 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       120 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       120 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       120 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       120 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       120 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       120 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       120 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       120 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       120 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       120 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       120 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       120 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       120 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       120 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       120 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       120 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       120 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       120 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       120 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       120 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       120 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       180 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       180 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       180 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       180 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       180 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       180 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       180 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       180 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       180 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       180 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       180 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       180 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       180 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
