GLOBALTIME -> ID  -- Machines Assigned
         0 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
         0 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
         0 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
         0 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
         0 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
         0 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
         0 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
         0 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
         0 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
         0 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
         0 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
         0 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
         0 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
         0 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
         0 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
         0 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
         0 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
         0 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
         0 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
         0 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
         0 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
         0 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
         0 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
         0 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
         0 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
        60 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
        60 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
        60 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
        60 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
        60 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
        60 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
        60 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
        60 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
